'e849e75;ncangigi;Thu Nov 9 19:03:38 2023 +0100;qa fixing'
'24124aa;ncangigi;Thu Nov 9 16:11:02 2023 +0100;added examples'
'eda54dc;Davide Saraceno;Thu Nov 9 12:16:30 2023 +0100;#60 update risk factors'
'1a7ad31;ncangigi;Tue Sep 5 13:22:46 2023 +0200;https://github.com/hl7-eu/pcsp/issues/63'
'db04028;ncangigi;Tue Sep 5 13:18:19 2023 +0200;https://github.com/hl7-eu/pcsp/issues/64'
'93f2e2d;ncangigi;Mon Sep 4 14:57:39 2023 +0200;typo in index.md'
'1a09da4;Giorgio Cangioli;Mon Sep 4 11:53:41 2023 +0200;rebuild'
'2d2ef0b;Giorgio Cangioli;Tue May 23 11:10:57 2023 +0200;rebuild'
'8caaa15;Giorgio Cangioli;Fri Feb 17 12:20:09 2023 +0100;https://github.com/hl7-eu/pcsp/issues/60'
'2621373;Giorgio Cangioli;Wed Jan 25 11:19:13 2023 +0100;changed version to 0.1.0 new download page'
'188a526;Giorgio Cangioli;Wed Jan 11 08:11:30 2023 +0100;Merge branch 'master' of https://github.com/hl7-eu/pcsp'
'f1df125;Giorgio Cangioli;Wed Jan 11 08:11:10 2023 +0100;added publication-request.json'
'fac3058;Davide Saraceno;Fri Dec 23 15:54:20 2022 +0100;Test and validation December 20th and 21st 2022'
'bedf5b8;Davide Saraceno;Fri Dec 23 09:29:16 2022 +0100;Test and validation December 20th and 21st 2022'
'1c72586;Davide Saraceno;Fri Dec 23 09:28:28 2022 +0100;Test and validation December 20th and 21st 2022'
'5656de3;Giorgio Cangioli;Thu Dec 22 09:58:46 2022 +0100;Added a new folder for the test samples'
'b579d8d;Giorgio Cangioli;Thu Dec 15 14:35:23 2022 +0100;https://github.com/hl7-eu/pcsp/issues/59'
'e9f93f0;Giorgio Cangioli;Tue Dec 13 16:33:45 2022 +0100;fixed 'pscp' typos'
'167e587;Giorgio Cangioli;Thu Dec 8 13:14:44 2022 +0100;fixed special chars in xhtml'
'558ce34;Giorgio Cangioli;Thu Dec 8 11:56:48 2022 +0100;QA error fixing (cont'd)'
'93a73f1;Giorgio Cangioli;Thu Dec 8 10:05:43 2022 +0100;QA errors fixing'
'6ddb65d;Giorgio Cangioli;Thu Dec 8 08:13:44 2022 +0100;https://github.com/hl7-eu/pcsp/issues/56'
'6c0e130;Giorgio Cangioli;Thu Dec 8 08:13:25 2022 +0100;https://github.com/hl7-eu/pcsp/issues/56'
'5dfaee8;Giorgio Cangioli;Mon Dec 5 18:53:44 2022 +0100;Merge branch 'master' of https://github.com/hl7-eu/pcsp'
'064c709;Giorgio Cangioli;Mon Dec 5 18:28:42 2022 +0100;https://github.com/hl7-eu/pcsp/issues/56'
'a800cab;Giorgio Cangioli;Wed Nov 23 16:23:45 2022 +0100;Merge pull request #58 from hl7-eu/failing-section'
'ff9f3a4;Giorgio Cangioli;Mon Nov 21 14:16:46 2022 +0100;Build failure: Composition.section.section.section'
'4b4ef55;Giorgio Cangioli;Wed Nov 16 10:22:07 2022 +0100;https://github.com/hl7-eu/pcsp/issues/57'
'03333c3;Giorgio Cangioli;Tue Nov 15 19:42:59 2022 +0100;https://github.com/hl7-eu/pcsp/issues/57 (partial)'
'8367eac;Giorgio Cangioli;Tue Nov 15 18:08:36 2022 +0100;https://github.com/hl7-eu/pcsp/issues/54'
'98952fc;Giorgio Cangioli;Tue Nov 15 18:08:28 2022 +0100;https://github.com/hl7-eu/pcsp/issues/54'
'7e2294c;Giorgio Cangioli;Mon Nov 14 17:35:52 2022 +0100;https://github.com/hl7-eu/pcsp/issues/53'
'6b59d58;Giorgio Cangioli;Sun Nov 13 22:22:19 2022 +0100;https://github.com/hl7-eu/pcsp/issues/56 new relapseAfterFlt.fsh'
'26c0a22;Giorgio Cangioli;Sun Nov 13 11:18:55 2022 +0100;fixed error with LM types'
'cbbf8f2;Giorgio Cangioli;Fri Nov 11 12:31:51 2022 +0100;failing build'
'dae5529;Giorgio Cangioli;Thu Nov 10 21:33:42 2022 +0100;rebuilt'
'3619a9e;Giorgio Cangioli;Thu Nov 10 20:14:22 2022 +0100;https://github.com/hl7-eu/pcsp/issues/53 (partial)'
'd04a750;Giorgio Cangioli;Thu Nov 10 13:56:21 2022 +0100;https://github.com/hl7-eu/pcsp/issues/39'
'edfd58c;Giorgio Cangioli;Thu Nov 3 18:49:09 2022 +0100;https://github.com/hl7-eu/pcsp/issues/41'
'eb8f98a;Giorgio Cangioli;Thu Nov 3 15:25:22 2022 +0100;https://github.com/hl7-eu/pcsp/issues/22'
'5f319af;Giorgio Cangioli;Thu Nov 3 15:24:50 2022 +0100;https://github.com/hl7-eu/pcsp/issues/23'
'c957247;Giorgio Cangioli;Wed Nov 2 19:19:56 2022 +0100;https://github.com/hl7-eu/pcsp/issues/24'
'0eda171;Giorgio Cangioli;Wed Nov 2 16:46:55 2022 +0100;https://github.com/hl7-eu/pcsp/issues/25'
'c7c53b4;Giorgio Cangioli;Wed Nov 2 16:21:42 2022 +0100;https://github.com/hl7-eu/pcsp/issues/50'
'298eb2b;Giorgio Cangioli;Wed Nov 2 16:16:51 2022 +0100;https://github.com/hl7-eu/pcsp/issues/45'
'86d0e33;Giorgio Cangioli;Wed Nov 2 14:34:23 2022 +0100;https://github.com/hl7-eu/pcsp/issues/47'
'62cc1c5;Giorgio Cangioli;Wed Nov 2 14:24:40 2022 +0100;https://github.com/hl7-eu/pcsp/issues/48 1st draft plan of care model'
